hr,weather_desc,is_member,temp_bin,wind_bin,duration_mean,count
0,cloudy,Y,"(83.127, 90.212]","[0.0, 12.24)",11.509717514124294,0.36240786240786244
0,cloudy,Y,"(83.127, 90.212]","[12.24, 24.48)",13.270286885245902,1.199017199017199
0,fog,N,"(61.873, 68.958]","[0.0, 12.24)",15.733333333333333,0.04791154791154791
0,fog,Y,"(61.873, 68.958]","[0.0, 12.24)",10.68943298969072,0.23832923832923833
0,haze,N,"(54.788, 61.873]","[0.0, 12.24)",17.546474358974358,0.25552825552825553
0,haze,N,"(61.873, 68.958]","[0.0, 12.24)",18.22282608695652,0.11302211302211303
0,haze,N,"(68.958, 76.042]","[24.48, 36.72)",13.675,0.019656019656019656
0,haze,Y,"(54.788, 61.873]","[0.0, 12.24)",11.99087956021989,0.8194103194103194
0,haze,Y,"(61.873, 68.958]","[0.0, 12.24)",12.1113184079602,0.49385749385749383
0,haze,Y,"(68.958, 76.042]","[24.48, 36.72)",10.28247311827957,0.1904176904176904
0,rain,N,"(47.703, 54.788]","[24.48, 36.72)",13.58076923076923,0.01597051597051597
0,rain,N,"(54.788, 61.873]","[0.0, 12.24)",12.78627450980392,0.020884520884520884
0,rain,N,"(54.788, 61.873]","[24.48, 36.72)",20.18166666666667,0.036855036855036855
0,rain,Y,"(47.703, 54.788]","[24.48, 36.72)",9.919333333333332,0.18427518427518427
0,rain,Y,"(54.788, 61.873]","[0.0, 12.24)",9.422636815920397,0.08230958230958231
0,rain,Y,"(54.788, 61.873]","[24.48, 36.72)",9.561802232854864,0.25675675675675674
0,light intensity drizzle,N,"(47.703, 54.788]","[12.24, 24.48)",16.733739837398375,0.05036855036855037
0,light intensity drizzle,Y,"(33.534, 40.618]","[12.24, 24.48)",9.757298474945534,0.18796068796068796
0,light intensity drizzle,Y,"(47.703, 54.788]","[12.24, 24.48)",10.222533333333333,0.15356265356265356
0,rain,N,"(40.618, 47.703]","[0.0, 12.24)",11.289393939393939,0.013513513513513514
0,rain,N,"(40.618, 47.703]","[12.24, 24.48)",12.431666666666667,0.036855036855036855
0,rain,N,"(47.703, 54.788]","[12.24, 24.48)",14.732857142857142,0.128992628992629
0,rain,N,"(47.703, 54.788]","[24.48, 36.72)",17.30326797385621,0.12530712530712532
0,rain,N,"(54.788, 61.873]","[0.0, 12.24)",16.209441233140655,0.21253071253071254
0,rain,N,"(54.788, 61.873]","[12.24, 24.48)",22.220833333333335,0.004914004914004914
0,rain,N,"(54.788, 61.873]","[24.48, 36.72)",15.763636363636364,0.013513513513513514
0,rain,N,"(61.873, 68.958]","[0.0, 12.24)",16.407023060796647,0.19533169533169534
0,rain,N,"(61.873, 68.958]","[12.24, 24.48)",16.81629766297663,0.6658476658476659
0,rain,N,"(68.958, 76.042]","[0.0, 12.24)",17.479888888888887,0.36855036855036855
0,rain,N,"(68.958, 76.042]","[12.24, 24.48)",17.472087308470655,1.4164619164619165
0,rain,Y,"(40.618, 47.703]","[0.0, 12.24)",10.289491691104594,0.4189189189189189
0,rain,Y,"(40.618, 47.703]","[12.24, 24.48)",10.07795138888889,0.23587223587223588
0,rain,Y,"(47.703, 54.788]","[12.24, 24.48)",9.834126984126984,0.7223587223587223
0,rain,Y,"(47.703, 54.788]","[24.48, 36.72)",10.557183908045976,0.5700245700245701
0,rain,Y,"(54.788, 61.873]","[0.0, 12.24)",10.23499079189687,1.1117936117936118
0,rain,Y,"(54.788, 61.873]","[12.24, 24.48)",10.430878552971576,0.15847665847665848
0,rain,Y,"(54.788, 61.873]","[24.48, 36.72)",10.931808278867102,0.18796068796068796
0,rain,Y,"(61.873, 68.958]","[0.0, 12.24)",11.351086335048599,0.7162162162162162
0,rain,Y,"(61.873, 68.958]","[12.24, 24.48)",10.984028697571745,1.855036855036855
0,rain,Y,"(68.958, 76.042]","[0.0, 12.24)",12.035402165506575,1.058968058968059
0,rain,Y,"(68.958, 76.042]","[12.24, 24.48)",12.186944656004062,3.226044226044226
0,rain,N,"(33.534, 40.618]","[12.24, 24.48)",8.794444444444444,0.0036855036855036856
0,rain,N,"(40.618, 47.703]","[0.0, 12.24)",14.83888888888889,0.025798525798525797
0,rain,N,"(40.618, 47.703]","[12.24, 24.48)",12.32834890965732,0.13144963144963145
0,rain,N,"(40.618, 47.703]","[24.48, 36.72)",13.005555555555556,0.007371007371007371
0,rain,N,"(47.703, 54.788]","[0.0, 12.24)",17.58121761658031,0.4742014742014742
0,rain,N,"(47.703, 54.788]","[12.24, 24.48)",15.967204301075268,0.038083538083538086
0,rain,N,"(47.703, 54.788]","[24.48, 36.72)",17.98301886792453,0.06511056511056511
0,rain,N,"(54.788, 61.873]","[0.0, 12.24)",15.104714912280702,0.37346437346437344
0,rain,N,"(54.788, 61.873]","[12.24, 24.48)",17.160335195530724,0.2199017199017199
0,rain,N,"(54.788, 61.873]","[24.48, 36.72)",17.618253968253967,0.025798525798525797
0,rain,N,"(61.873, 68.958]","[0.0, 12.24)",18.303962167689164,0.800982800982801
0,rain,N,"(61.873, 68.958]","[12.24, 24.48)",15.194298245614034,0.09336609336609336
0,rain,N,"(61.873, 68.958]","[24.48, 36.72)",19.00755064456722,0.22235872235872237
0,rain,N,"(68.958, 76.042]","[0.0, 12.24)",18.381146106736658,0.9361179361179361
0,rain,N,"(68.958, 76.042]","[12.24, 24.48)",17.618260120585703,0.47542997542997545
0,rain,N,"(76.042, 83.127]","[12.24, 24.48)",24.313374485596707,0.09950859950859951
0,rain,Y,"(33.534, 40.618]","[12.24, 24.48)",8.557371794871795,0.06388206388206388
0,rain,Y,"(40.618, 47.703]","[0.0, 12.24)",9.25436507936508,0.3095823095823096
0,rain,Y,"(40.618, 47.703]","[12.24, 24.48)",9.729839544513457,0.7911547911547911
0,rain,Y,"(40.618, 47.703]","[24.48, 36.72)",8.930851063829786,0.1732186732186732
0,rain,Y,"(47.703, 54.788]","[0.0, 12.24)",11.19985294117647,1.253071253071253
