weather_desc,is_member,duration_mean,count,start_station_name,end_station_name
cloudy,Y,4.628571428571429,7,de la Gauchetière / Robert-Bourassa,Ann / William
cloudy,Y,7.066666666666666,1,President-Kennedy / Robert Bourassa,Clark / Guilbault
mist,Y,9.585416666666667,8,Drolet / Laurier,de la Roche / du Mont-Royal
fog,Y,4.986111111111112,18,du Mont-Royal / Clark,de Bullion / St-Joseph
cloudy,Y,3.966666666666667,1,Place de la paix ( Pl. du marché / St-Dominique ),Ste-Catherine / St-Hubert
cloudy,Y,8.933333333333334,1,McGill / Place d'Youville,Ottawa/St-Thomas
rain,N,14.916666666666666,1,Peel / avenue des Canadiens de Montréal,De la Commune / King
sky is clear,Y,4.466666666666667,1,Mentana / Marie-Anne,St-André / Duluth
rain,Y,20.783333333333335,1,Roy / St-Christophe,St-Alexandre / Ste-Catherine
cloudy,Y,14.516666666666667,1,Laval / du Mont-Royal,Lucien L'Allier / St-Jacques
sky is clear,Y,53.55,1,Drake / de Sève,Drake / de Sève
cloudy,Y,15.71111111111111,3,des Érables / Rachel,St-André / St-Antoine
rain,Y,17.941666666666666,2,5e avenue / Verdun,5e avenue / Verdun
sky is clear,N,6.291666666666667,2,Villeneuve / de l'Hôtel-de-Ville,Garnier / St-Joseph
cloudy,Y,4.15,1,Bel Air / St-Antoine,Métro Place St-Henri (St-Ferdinand / St-Jacques)
cloudy,Y,9.65,3,Square Phillips 2,Mackay /de Maisonneuve (Sud)
cloudy,Y,9.36111111111111,3,Henri-Julien / Jean-Talon,Boyer / Beaubien
mist,Y,21.633333333333333,1,Milton / Université,St-Antoine / St-François-Xavier
cloudy,Y,11.2,2,de la Gauchetière / Robert-Bourassa,de la Commune / St-Sulpice
cloudy,Y,9.1,1,Lionel-Groulx / George-Vanier,de Montmorency / Richardson
cloudy,N,13.683333333333334,1,Peel / avenue des Canadiens de Montréal,Square Sir-Georges-Étienne-Cartier / Léa Roback
sky is clear,Y,9.691666666666666,2,de Châteaubriand / Beaubien,Champagneur / Jean-Talon
mist,N,7.366666666666666,4,Émile-Duployé / Sherbrooke,St-André / de Maisonneuve
cloudy,Y,9.065277777777776,12,de la Commune / St-Sulpice,Greene / St-Ambroise
mist,Y,14.566666666666666,1,1ère avenue / Beaubien,Garnier / du Mont-Royal
